No	Penulis	Jurnal	Tahun	Keterangan	Hasil
12	"Eshtay, M., Faris, H. dan Obeid, N."	 Improving Extreme Learning Machine by Competitive Swarm Optimization and its application for medical diagnosis problems	2018	"Dalam makalah ini, kami mengusulkan model baru yang menggunakan Competitive Swarm Optimizer (CSO) untuk mengoptimalkan nilai bobot input dan neuron tersembunyi ELM. Dua versi ELM dipertimbangkan: ELM klasik dan versi reguler. Tujuan dari model ini adalah untuk meningkatkan kinerja generalisasi, menstabilkan pengklasifikasi, dan menghasilkan jaringan yang lebih kompak dengan mengurangi jumlah neuron pada lapisan tersembunyi. Model yang diusulkan diujicobakan berdasarkan 15 masalah klasifikasi medis."	Hasil eksperimen menunjukkan bahwa model yang diusulkan dapat mencapai kinerja generalisasi yang lebih baik dengan jumlah neuron tersembunyi yang lebih sedikit dan dengan stabilitas yang lebih tinggi.
13	"Gastaldo, P., Bisio, F., Gianoglio, C., Ragusa, E. dan Zunino, R."	 Learning with similarity functions: a novel design for the extreme learning machine	2017	"Paradigma ini berbagi pendekatan umum untuk pembelajaran induktif, yang menggabungkan pemetaan ulang eksplisit data dengan pemisah linier; namun, mereka tampaknya mengeksploitasi strategi yang berbeda dalam desain lapisan pemetaan. Makalah ini menunjukkan bahwa, pada kenyataannya, teori pembelajaran dengan fungsi kesamaan dapat merangsang interpretasi baru dari paradigma ELM, sehingga mengarah ke kerangka umum. Wawasan baru ke dalam model ELM diperoleh, dan strategi ELM untuk pengaturan parameter neuron dapat ditingkatkan secara signifikan"	"Hasil eksperimen mengkonfirmasi bahwa metode baru ini lebih baik daripada pendekatan konvensional, terutama dalam pertukaran antara akurasi klasifikasi dan kompleksitas mesin (yaitu, dimensi ruang yang dipetakan ulang)"
14	"Glorot, X. dan Bengio, Y."	 Understanding the difficulty of training deep feedforward neural networks	2010	"Pertama-tama amati pengaruh fungsi aktivasi non-linier. Kami menemukan bahwa aktivasi sigmoid logistik tidak cocok untuk jaringan dalam dengan inisialisasi acak karena nilai rata-ratanya, yang dapat mendorong terutama lapisan tersembunyi atas ke dalam saturasi. Anehnya, kami menemukan bahwa unit jenuh dapat bergerak keluar dari saturasi dengan sendirinya, meskipun lambat, dan menjelaskan dataran tinggi yang terkadang terlihat saat melatih jaringan saraf. Kami menemukan bahwa non-linier baru yang kurang jenuh seringkali dapat bermanfaat. Akhirnya, kami mempelajari bagaimana aktivasi dan gradien bervariasi di seluruh lapisan dan selama pelatihan, dengan gagasan bahwa pelatihan mungkin lebih sulit ketika nilai tunggal Jacobian yang terkait dengan setiap lapisan jauh dari 1"	"Berdasarkan pertimbangan ini, kami mengusulkan skema inisialisasi baru yang membawa konvergensi yang jauh lebih cepat"
15	"Goodfellow, I., Bengio, Y. dan Courville, A."	 Deep learning	2016	"Metode-metode ini telah secara dramatis meningkatkan state-of-the-art dalam pengenalan suara, pengenalan objek visual, deteksi objek dan banyak domain lainnya seperti penemuan obat dan genomik."	Deep learning menemukan struktur rumit dalam kumpulan data besar dengan menggunakan algoritma backpropagation untuk menunjukkan bagaimana mesin harus mengubah parameter internalnya yang digunakan untuk menghitung representasi di setiap lapisan dari representasi di lapisan sebelumnya.
16	"Gopal, S."	 Artificial Neural Networks in Geospatial Analysis	2017	"Artificial neural network adalah model komputasi yang banyak digunakan dalam analisis geospasial untuk klasifikasi data, deteksi perubahan, pengelompokan, aproksimasi fungsi, dan peramalan atau prediksi. Ada banyak jenis jaringan saraf berdasarkan paradigma pembelajaran dan arsitektur jaringan."	Penggunaannya diperkirakan akan tumbuh dengan meningkatnya ketersediaan data besar-besaran dari penginderaan jauh dan platform seluler.
17	"Guang-Bin, H., Qin-Yu, Z. dan Chee-Kheong, S."	 Extreme learning machine: Theory and applications	2006	"Makalah ini mengusulkan algoritma pembelajaran baru yang disebut extreme learning machine (ELM) untuk single-hidden layer feedforward neural networks (SLFNs) yang secara acak memilih node tersembunyi dan secara analitis menentukan bobot keluaran SLFNs. Secara teori, algoritma ini cenderung memberikan kinerja generalisasi yang baik pada kecepatan belajar yang sangat cepat"	Hasil eksperimen berdasarkan beberapa masalah aproksimasi dan klasifikasi fungsi benchmark buatan dan nyata termasuk aplikasi kompleks yang sangat besar menunjukkan bahwa algoritma baru dapat menghasilkan kinerja generalisasi yang baik dalam banyak kasus dan dapat belajar ribuan kali lebih cepat daripada algoritma pembelajaran populer konvensional untuk jaringan saraf feedforward
18	"Han, F., Yao, H.F. dan Ling, Q.H."	 An improved evolutionary extreme learning machine based on particle swarm optimization	2013	"Dalam makalah ini, algoritma pembelajaran hybrid diusulkan untuk mengatasi kelemahan ELM, yang menggunakan algoritma optimasi gerombolan partikel (PSO) yang ditingkatkan untuk memilih bobot input dan bias tersembunyi dan invers umum Moore–Penrose (MP) untuk menentukan output secara analitis. bobot. Untuk mendapatkan SLFN yang optimal, PSO yang ditingkatkan mengoptimalkan bobot input dan bias tersembunyi tidak hanya menurut root mean squared error (RMSE) pada set validasi tetapi juga norma bobot output."	"Algoritma yang diusulkan memiliki kinerja generalisasi yang lebih baik daripada ELM tradisional dan ELM evolusioner lainnya, dan pengkondisian SLFN yang dilatih oleh algoritma yang diusulkan juga ditingkatkan. Hasil eksperimen telah memverifikasi efisiensi dan efektivitas metode yang diusulkan"
19	"Han, J., Kamber, M. dan Pei, J."	 Data mining concepts and techniques	2011		
20	"Hinton, G."	 A practical guide to training restricted Boltzmann machines	2010	RBM biasanya dilatih menggunakan prosedur pembelajaran divergensi kontrastif. Ini membutuhkan sejumlah pengalaman praktis untuk memutuskan bagaimana mengatur nilai-nilai meta-parameter numerik	"Selama beberapa tahun terakhir, grup pembelajaran mesin di University of Toronto telah memperoleh keahlian yang cukup besar dalam melatih RBM dan panduan ini merupakan upaya untuk berbagi keahlian ini dengan peneliti pembelajaran mesin lainnya."
21	"Hinton, G.E. dan Salakhutdinov, R.R."	 Reducing the dimensionality of data with neural networks	2006	"Penurunan gradien dapat digunakan untuk menyempurnakan bobot dalam jaringan ""autoencoder"" semacam itu, tetapi ini berfungsi dengan baik hanya jika bobot awal mendekati solusi yang baik"	Kami menjelaskan cara efektif untuk menginisialisasi bobot yang memungkinkan jaringan autoencoder mendalam mempelajari kode dimensi rendah yang bekerja jauh lebih baik daripada analisis komponen utama sebagai alat untuk mengurangi dimensi data.
22	"Huang, B., Huan, Y., Xu, L., Zheng, L. dan Zou, Z."	 Automated trading systems statistical and machine learningmethods and hardware implementation: a survey	2019	"Dalam makalah ini, kami meninjau studi tentang sistem perdagangan yang dibangun menggunakan berbagai metode dan mengevaluasi metode secara empiris dengan mengelompokkannya menjadi tiga jenis: analisis teknis, analisis tekstual, dan perdagangan frekuensi tinggi."	Pembangunan sistem perdagangan secara otomatis berdasarkan algoritma yang diperlukan dan implementasi perangkat keras.
23	"Huang, C., Cai, H., Xu, L., Xu, B., Gu, Y. dan Jiang, L."	 Data-driven ontology generation and evolution towards intelligent servicein manufacturing systems	2019	"Metode yang diusulkan terdiri dari empat fase: ekstraksi data, konstruksi ontologi, koneksi ontologi, dan evolusi ontologi. Pada fase pertama, data dari sumber yang berbeda dipetakan ke entitas data untuk membentuk struktur data terpadu. Pada fase kedua, ontologi awal dihasilkan melalui konstruksi ontologi yang digerakkan oleh instance. Pada fase ketiga, untuk mendukung manufaktur cerdas, ontologi awal diatur dalam dimensi berbagai elemen bisnis, seperti barang, mesin, produk, proses, dan skenario. Pada fase keempat, aturan mengenai pembatasan ontologi dirumuskan untuk mewujudkan evolusi ontologi yang merespon perubahan lingkungan manufaktur."	"Generasi ontologi data-driven dan metode evolusi diusulkan dalam makalah ini untuk manajemen data. Dalam metode yang diusulkan, data heterogen dari sumber data yang berbeda diintegrasikan dengan menghasilkan ontologi gabungan terpadu, yang merupakan tampilan lengkap dari keseluruhan perusahaan yang berisi skenario barang, mesin, material, proses, dan aplikasi. Sedangkan melalui evolusi ontologi, yang mencerminkan penyesuaian struktur dan relasi, ontologi terus dioptimalkan berdasarkan perubahan data dalam proses manufaktur."
24	"Huang, G.B., Zhu, Q.Y. dan Siew, C.K."	 Extreme learning machine: a new learning scheme of feedforward neural networks	2004	"Makalah ini mengusulkan algoritma pembelajaran baru yang disebut mesin pembelajaran ekstrim (ELM) untuk jaringan saraf feedforward lapisan tersembunyi tunggal (SLFNs) yang secara acak memilih bobot input dan secara analitis menentukan bobot output SLFN. Secara teori, algoritme ini cenderung memberikan kinerja generalisasi terbaik pada kecepatan belajar yang sangat cepat"	Hasil eksperimen berdasarkan pendekatan fungsi benchmarking dunia nyata dan masalah klasifikasi termasuk aplikasi kompleks besar menunjukkan bahwa algoritma baru dapat menghasilkan kinerja generalisasi terbaik dalam beberapa kasus dan dapat belajar lebih cepat daripada algoritma pembelajaran populer tradisional untuk jaringan feedforwardneural
25	"Huang, J., Yu, Z.L. dan Gu, Z."	 A clustering method based on extreme learning machine	2018	"Di ruang fitur ELM, kami mengusulkan untuk menggabungkan node tersembunyi Gaussian dan node tersembunyi sigmoid di lapisan tersembunyi untuk menggabungkan keunggulannya. Kemudian kami mengusulkan untuk mengadopsi metode arah alternatif untuk menyelesaikan masalah non-cembung dalam CM-ELM secara sederhana. Selanjutnya, untuk membuat hasil masalah non-cembung kuat dan memuaskan, kami mengusulkan untuk menginisialisasi label dengan metode cluster ensemble"	Eksperimen pada set data buatan dan benchmark menunjukkan bahwa CM-ELM bersaing dengan metode pengelompokan canggih
26	Kementerian Kesehatan RI	 Laporan Riskesdas 2018	2019		
27	"Kohonen, T."	 Self-Organizing Maps	2001		
28	"Krittanawong, C., Bomback, A.S., Baber, U., Bangalore, S., Messerli, F.H. dan Tang, W.H.W."	 Future Direction for Using Artificial Intelligence to Predictand Manage Hypertension	2018	"Meskipun penelitian terbaru menunjukkan bahwa AI dalam penelitian hipertensi layak dan mungkin berguna, perawatan yang diinformasikan AI belum mengubah kontrol tekanan darah (TD). Hal ini disebabkan, sebagian, karena kurangnya data tentang konsistensi, akurasi, dan keandalan AI di bidang BP. Namun, banyak faktor yang berkontribusi terhadap BP yang tidak terkontrol dengan baik, termasuk masalah biologis, lingkungan, dan gaya hidup. AI memungkinkan wawasan tentang ekstrapolasi analitik data untuk memberi tahu resep dan pasien tentang faktor-faktor spesifik yang dapat memengaruhi kontrol BP mereka"	"AI telah digunakan terutama untuk menyelidiki faktor risiko hipertensi, tetapi belum digunakan untuk manajemen hipertensi karena keterbatasan desain penelitian dan keterlibatan dokter dalam literatur ilmu komputer. Masa depan AI dengan arsitektur yang lebih kuat menggunakan pendekatan multi omics dan teknologi yang dapat dikenakan kemungkinan akan menjadi alat penting yang memungkinkan untuk memasukkan faktor biologis, gaya hidup, dan lingkungan ke dalam pengambilan keputusan penggunaan obat yang tepat untuk pengendalian tekanan darah."
29	"Lawal, A.I. dan Kwon, S."	 Application of artificial intelligence to rock mechanics: An overview	2021	Kinerja metode AI yang telah digunakan dalam aplikasi mekanika batuan dievaluasi.	"Tinjauan literatur menunjukkan bahwa metode AI telah berhasil digunakan untuk memecahkan berbagai masalah di bidang mekanika batuan dan kinerjanya lebih baik daripada metode empiris, matematika, atau statistik tradisional."
30	"Lecun, Y., Bengio, Y. dan Hinton, G."	 Deep learning	2015	"Metode-metode ini telah secara dramatis meningkatkan state-of-the-art dalam pengenalan suara, pengenalan objek visual, deteksi objek dan banyak domain lainnya seperti penemuan obat dan genomik."	Deep learning menemukan struktur rumit dalam kumpulan data besar dengan menggunakan algoritma backpropagation untuk menunjukkan bagaimana mesin harus mengubah parameter internalnya yang digunakan untuk menghitung representasi di setiap lapisan dari representasi di lapisan sebelumnya.
31	"Lecun, Y., Boser, B., Denker, J. S., Henderson, D., Howard, R. E., Hubbard, W. dan Jackel, L.D."	 Backpropagation applied to handwritten zip code recognition	1989	Makalah ini menunjukkan bagaimana kendala tersebut dapat diintegrasikan ke dalam jaringan backpropagation melalui arsitektur jaringan. Pendekatan ini telah berhasil diterapkan pada pengenalan angka kode pos tulisan tangan yang disediakan oleh Layanan Pos AS.	"Sebuah jaringan tunggal mempelajari seluruh operasi pengenalan, mulai dari citra karakter yang dinormalisasi hingga klasifikasi akhir."
32	"Lee, E"	 How do we build trust in machine learning models	2021		
33	"Leung, H.C., Leung, C.S. dan Wong, E.W.M."	 Fault and Noise Tolerance in the Incremental Extreme Learning Machine	2019	"Makalah ini mempertimbangkan situasi bahwa SLFN terlatih menderita dari koeksistensi kesalahan simpul dan kebisingan simpul. Kami mengembangkan dua algoritma ELM inkremental toleran kesalahan untuk masalah regresi, yaitu ELM inkremental toleran kesalahan node (NFTI-ELM) dan ELM inkremental konveks toleran kesalahan node (NFTCI-ELM). NFTI-ELM menentukan bobot keluaran dari node yang baru dimasukkan saja. Kami membuktikan bahwa dalam hal set pelatihan mean squared error (MSE) dari SLFN yang salah, NFTI-ELM konvergen. Hasil numerik kami menunjukkan bahwa NFTI-ELM lebih unggul daripada ELM konvensional dan algoritme ELM inkremental dalam situasi yang salah."	"Untuk lebih meningkatkan kinerja, kami mengusulkan algoritma NFTCI-ELM. Ini tidak hanya menentukan bobot keluaran dari simpul yang baru dimasukkan, tetapi juga memperbarui semua bobot keluaran yang telah dilatih sebelumnya. Dalam hal set pelatihan MSE dari SLFN yang salah, NFTCI-ELM menyatu, dan lebih unggul dari NFTI-ELM"
34	"Li, X., He, S., Wei, Z. dan Wu, L."	 Improved Online Sequential Extreme Learning Machine: A New Intelligent Evaluation Method for AZ-Style Algorithms	2019	"Untuk memecahkan masalah sampai batas tertentu, makalah ini mengusulkan mesin pembelajaran ekstrem sekuensial online yang ditingkatkan (IOS-ELM), metode evaluasi baru, untuk mengevaluasi posisi papan catur untuk algoritme gaya AZ. Pertama, prinsip-prinsip teoritis IOS-ELM diberikan. Kedua, penelitian ini menganggap Gomoku sebagai objek aplikasi dan menggunakan IOS-ELM sebagai metode evaluasi untuk posisi dewan AZ-style untuk membahas kerugian dalam proses pelatihan dan hiperparameter yang mempengaruhi kinerja secara rinci."	"Di bawah kondisi eksperimental yang sama, metode yang diusulkan mengurangi parameter pelatihan sebanyak 14 kali, waktu pelatihan hingga 15%, dan kesalahan evaluasi sebesar 13% dibandingkan dengan jaringan evaluasi papan yang digunakan dalam algoritme gaya AZ asli."
35	"Lin, S., Liu, X., Fang, J. dan Xu, Z."	 Is extreme learning machine feasible? A theoretical assessment (Part II)	2015	"Dalam makalah ini, kami meluncurkan penelitian ke arah yang berbeda dan menunjukkan bahwa keacakan ELM juga mengarah pada konsekuensi negatif tertentu. Di satu sisi, kami menemukan bahwa keacakan menyebabkan masalah ketidakpastian tambahan ELM, baik dalam pendekatan dan pembelajaran. Di sisi lain, kami secara teoritis membenarkan bahwa ada juga fungsi aktivasi sehingga ELM yang sesuai menurunkan kemampuan generalisasi. Secara khusus, kami membuktikan bahwa kemampuan generalisasi ELM dengan kernel Gaussian pada dasarnya lebih buruk daripada FNN dengan kernel Gaussian."	"Untuk memfasilitasi penggunaan ELM, kami juga menyediakan obat untuk degradasi tersebut. Kami menemukan bahwa teknik regularisasi koefisien yang dikembangkan dengan baik pada dasarnya dapat meningkatkan kemampuan generalisasi. Hasil yang diperoleh mengungkapkan karakteristik penting ELM dalam arti tertentu dan memberikan panduan teoretis tentang cara menggunakan ELM."
36	"Lukito, A.A., Harmeiwaty, E. dan Hustrini, N.M."	 Konsensus penatalaksanaan hipertensi 2019	2019		
37	"Mahesh, B."	 Machine Learning Algorithms - A Review	2019	"Setiap kali mesin pencari web seperti Google digunakan untuk mencari di internet, salah satu alasan yang bekerja dengan baik adalah karena algoritma pembelajaran yang telah mempelajari cara menentukan peringkat halaman web. Algoritme ini digunakan untuk berbagai tujuan seperti penambangan data, pemrosesan gambar, analitik prediktif, dll"	"Keuntungan utama menggunakan pembelajaran mesin adalah, setelah suatu algoritma mempelajari apa yang harus dilakukan dengan data, ia dapat melakukan pekerjaannya secara otomatis. Dalam makalah ini, tinjauan singkat dan prospek masa depan dari aplikasi besar algoritma pembelajaran mesin telah dibuat"
38	"Matias, T., Souza, F., Arajo, R. dan Antunes, C.H."	 Learning of a single-hid- den layer feedforward neural network using an optimized extreme learning ma- chine	2014	"Metode optimasi digunakan untuk himpunan variabel input, konfigurasi dan bias lapisan tersembunyi, bobot input dan faktor regularisasi Tikhonov."	"Kerangka yang diusulkan telah diuji dengan tiga metode optimasi (algoritma genetik, simulasi anil, dan evolusi diferensial) lebih dari 16 masalah benchmark yang tersedia di repositori publik"
39	"Mohapatra, P., Chakravarty, S. dan Dash, P.K."	 An improved cuckoo search based extreme learning machine for medical data classification	2015	"Namun, untuk membuat model lebih stabil, algoritma evolusioner pencarian cuckoo ditingkatkan (ICS) digunakan untuk pra-pelatihan ELM dengan memilih bobot input dan bias tersembunyi. Seperti ELM, invers umum Moore–Penrose (MP) digunakan di ICSELM untuk menentukan bobot keluaran secara analitik. Untuk mengevaluasi efektivitas model yang diusulkan, empat set data benchmark, yaitu Kanker Payudara, Diabetes, Bupa, dan Hepatitis dari UCI Repository of Machine Learning digunakan. Sejumlah ukuran evaluasi kinerja yang berguna termasuk akurasi, sensitivitas, spesifisitas, matriks kebingungan, Gmean, F-score dan norma bobot keluaran serta area di bawah kurva karakteristik operasi penerima (ROC) dihitung"	"Hasilnya dianalisis dan dibandingkan dengan kedua model berbasis ELM seperti ELM, algoritma pembelajaran ekstrem sekuensial on-line (OSELM), CSELM dan jaringan saraf tiruan lainnya yaitu multi-layered perceptron (MLP), MLPCS, MLPICS dan jaringan saraf fungsi radial basis ( RBFNN), RBFNNCS, RBFNNICS. Hasil eksperimen menunjukkan bahwa model ICSELM mengungguli model lainnya."
40	"Muhlisin, A."	 12 Penyebab Hipertensi (Darah Tinggi) Primer dan Sekunder	2019		
41	"Naqa, E.I. dan Murphy, M.J."	 What is machine learning? Machine learning in radiation oncology	2015	"Tingkat kerumitan proses ini dapat bervariasi dan mungkin melibatkan beberapa tahap interaksi manusia-mesin yang canggih dan pengambilan keputusan, yang secara alami akan mengundang penggunaan algoritme pembelajaran mesin untuk mengoptimalkan dan mengotomatisasi proses ini termasuk tetapi tidak terbatas pada jaminan kualitas fisika radiasi. , perencanaan kontur dan perawatan, radioterapi dengan panduan gambar, manajemen gerakan pernapasan, pemodelan respons perawatan, dan prediksi hasil"	Kemampuan algoritme pembelajaran mesin untuk belajar dari konteks saat ini dan menggeneralisasi ke dalam tugas-tugas yang tidak terlihat akan memungkinkan peningkatan keamanan dan kemanjuran praktik radioterapi yang mengarah pada hasil yang lebih baik.
42	"Notoatmodjo, S."	 Metodologi Penelitian Kesehatan Cetakan Pertama	2010		
